,business,highlights
0,A-uZAD4zP3rRxb44WUGV5w,"[('sushi', 0.467590027700831), ('service', 0.39224376731301935), ('food', 0.3900277008310249), ('fresh', 0.28476454293628806), ('sashimi', 0.2368421052631579)]"
1,GdnLAgRXt43eISMtJEOZRg,"[('sushi', 0.6285714285714287), ('roll', 0.35), ('delivery', 0.32142857142857145), ('rolls', 0.2571428571428571), ('time', 0.15714285714285717)]"
2,RN0PTeMSF_eaeXN6VV7RwA,"[('sushi', 0.5526881720430108), ('service', 0.35698924731182796), ('hour', 0.3075268817204301), ('happy', 0.3075268817204301), ('food', 0.29462365591397843), ('roll', 0.23655913978494625)]"
3,9UVkAmyodpaSBm49DBKFNw,"[('food', 0.3207100591715976), ('sushi', 0.30414201183431955), ('bowl', 0.3017751479289941), ('poke', 0.2899408284023669), ('burrito', 0.2532544378698225)]"
4,ZGtWgDcgU6bYq4opGMH9cA,"[('sushi', 0.5612244897959184), ('service', 0.3306122448979592), ('tuna', 0.31632653061224486), ('fresh', 0.30612244897959184), ('roll', 0.2795918367346939)]"
5,NEZCr0zLIPNYWNF57KsJJQ,"[('food', 0.5), ('sushi', 0.3692307692307692), ('chicken', 0.2076923076923077), ('japanese', 0.19615384615384618), ('teriyaki', 0.19230769230769232)]"
6,11fdZ98T5ddYgc12bp99PQ,"[('sushi', 0.6), ('try', 0.6), ('food', 0.4666666666666667), ('nice', 0.4333333333333333), ('way', 0.3), ('fast', 0.3), ('burrito', 0.26666666666666666)]"
7,TkoyGi8J7YFjA6SbaRzrxg,"[('food', 0.47111111111111115), ('sushi', 0.39111111111111113), ('service', 0.2777777777777778), ('happy', 0.2511111111111111), ('one', 0.14666666666666667)]"
8,vRFYqRz5F41ici5IOO2_pg,"[('sushi', 0.75), ('water', 0.5166666666666667), ('get', 0.4), ('bottles', 0.3333333333333333), ('glaziers', 0.31666666666666665), ('pretty', 0.2833333333333333), ('refill', 0.25), ('quick', 0.23333333333333334)]"
9,kJAmLFgiIjtjULunpr3NNg,"[('sushi', 0.5165714285714286), ('service', 0.3131428571428571), ('fried', 0.29028571428571426), ('food', 0.26857142857142857), ('chicken', 0.1965714285714286), ('rice', 0.18857142857142858)]"
10,Pq2kDojfCW8B6s1ABna6ug,"[('night', 0.4), ('wasnt', 0.4), ('party', 0.4), ('star', 0.4), ('like', 0.4), ('half', 0.4), ('enough', 0.4), ('ambiance', 0.4), ('future', 0.4)]"
11,R-Jmd1zLAyGsN5uP_hJx3g,"[('sushi', 0.7138211382113822), ('service', 0.3414634146341463), ('food', 0.32195121951219513), ('rolls', 0.2065040650406504)]"
12,wMOioy2KAoI2AnpbqwxdOg,"[('sushi', 0.7178571428571427), ('service', 0.4130952380952381), ('food', 0.3464285714285714), ('fresh', 0.32261904761904764), ('roll', 0.2357142857142857)]"
13,qL7oHKdDd4eM2NIE4SFYAg,"[('sushi', 0.572), ('food', 0.284), ('roll', 0.28), ('bento', 0.252), ('box', 0.22799999999999998)]"
14,bixMVkra8aJ1zcx026N8Bw,"[('sushi', 0.6818181818181819), ('rolls', 0.3818181818181819), ('food', 0.3), ('time', 0.20909090909090908), ('ayce', 0.15454545454545454)]"
15,B-pELAaG6vPfa3eQAUk98A,"[('sushi', 0.6379310344827587), ('food', 0.37586206896551716), ('rolls', 0.3413793103448276), ('roll', 0.30689655172413793), ('fresh', 0.2896551724137931), ('try', 0.27241379310344827)]"
16,dYU5hXVyPsm7C-T-13I_YQ,"[('sushi', 0.6849056603773584), ('service', 0.3509433962264151), ('eat', 0.31320754716981136), ('food', 0.2943396226415094)]"
17,0MCXyrNQGaqdYBcAwh3anQ,"[('sushi', 0.6344827586206897), ('take', 0.3793103448275862), ('fresh', 0.37241379310344824), ('sashimi', 0.35172413793103446), ('order', 0.29655172413793107), ('quality', 0.2620689655172414)]"
18,Jw3iaQalS9-1aeXkKh_plA,"[('sushi', 0.534), ('service', 0.37), ('food', 0.33199999999999996), ('happy', 0.27199999999999996), ('roll', 0.26999999999999996), ('hour', 0.262)]"
19,Mbat8t9X0zPrpxd1mEGRcw,"[('food', 0.5471698113207547), ('sushi', 0.46037735849056605), ('hibachi', 0.29811320754716986), ('service', 0.2528301886792453), ('staff', 0.169811320754717)]"
20,hqvqLihniz0ynit9c36JHg,"[('service', 0.4306513409961686), ('food', 0.4237547892720307), ('sushi', 0.42298850574712643), ('bbq', 0.34176245210727974), ('korean', 0.30268199233716475), ('eat', 0.2329501915708812)]"
21,R_M4P9XetEM-aLE7eHdthw,"[('sushi', 0.6404255319148937), ('service', 0.4382978723404255), ('food', 0.33404255319148934), ('roll', 0.2127659574468085), ('happy', 0.2021276595744681)]"
22,#NAME?,"[('sushi', 0.5161290322580645), ('food', 0.37741935483870964), ('time', 0.23870967741935484), ('burger', 0.2161290322580645), ('roll', 0.17096774193548386)]"
23,VeiL_tgw7dsl-7IcnOsh0g,"[('sushi', 0.756896551724138), ('service', 0.353448275862069), ('food', 0.3155172413793103), ('fresh', 0.29655172413793107)]"
24,lhxG1Jlp4nMpLMoix31OYg,"[('food', 0.5111111111111111), ('roll', 0.4222222222222222), ('service', 0.4), ('rolls', 0.4), ('sushi', 0.37777777777777777), ('eat', 0.17777777777777776)]"
25,X88w0XrUSIKue9Vuwtqs_g,"[('sushi', 0.4803738317757009), ('fish', 0.44859813084112143), ('fresh', 0.42803738317757006), ('pittsburgh', 0.2672897196261682), ('food', 0.24112149532710275)]"
26,6eCbK0Fg9N_DbdluVQx-pA,"[('sushi', 0.5948051948051948), ('food', 0.3220779220779221), ('hour', 0.2961038961038961), ('happy', 0.2961038961038961), ('service', 0.2831168831168831), ('roll', 0.23376623376623376)]"
27,Ph-sYohzW3caPk66IHD75g,"[('time', 0.6), ('service', 0.5666666666666667), ('ever', 0.4666666666666667), ('sushi', 0.4666666666666667), ('well', 0.4333333333333333), ('salmon', 0.4333333333333333), ('roll', 0.4333333333333333), ('toronto', 0.3), ('nice', 0.16666666666666666)]"
28,COCjOJfwhvWO8uMFZk-mOQ,"[('und', 0.5538461538461539), ('sushi', 0.4923076923076922), ('sehr', 0.43076923076923085), ('die', 0.4153846153846154), ('lecker', 0.4), ('zu', 0.3538461538461538), ('war', 0.3538461538461538), ('das', 0.3384615384615385), ('auch', 0.27692307692307694), ('essen', 0.23076923076923078)]"
29,3xykzfVY2PbdjKCRDLdzTQ,"[('sushi', 0.5065217391304346), ('food', 0.4521739130434782), ('service', 0.35217391304347834), ('time', 0.225)]"
